,ID,Title,Área industrial,Nombre empresa,Logotipo,Descripción empresa,Descripción corta empresa,Sector,Actividad,Dirección,Nave,Código Postal,Página web,Email,Teléfono,CIF,CNAE,Enlace Street View,Taxonomía,empresa_mostrar_mapa_lat,empresa_mostrar_mapa_lng
canalejas,10154,Santos Moreno,PI CAMPON,Santos Moreno,,,Patatas fritas artesanas,Elaboración,Alimentos,Barrio El Castro - PI CAMPON,22,39011,,patatasfritassantosmoreno@gmail.com,942219202,,Fabricación de pan y de productos frescos de panadería y pastelería,,,,
,10155,Empresa Comercial de Recreativos,PI CAMPON,Empresa Comercial de Recreativos,,,Distribuidor de máquinas recreativas,Almacén,Máquinas Recreativas,Barrio El Castro - PI CAMPON,22,39011,,,942322340 - 942322346,,,,,,
,10156,Lavandería Los Cantabrucos,PI CAMPON,Lavandería Los Cantabrucos,,,Lavandería profesional,Lavandería,,Barrio El Castro - PI CAMPON,22-I - PTA 3,39011,,info@lavanderialoscantabrucos.es,942 551 425 - 618 55 03 30,,,,,,
,10157,Hiper Campón,PI CAMPON,Hiper Campón,,,Grandes almacenes en Santander,Tienda,Bazar,Barrio El Castro - PI CAMPON,22,39011,,,,B10586709,Comercio al por mayor no especializado,,,,
,10158,Taller Citroën Autogomas,PI CAMPON,Taller Citroën Autogomas,,,Concesionario y taller automóviles,Concesionario,Automóviles,Barrio El Castro - PI CAMPON,S/N,39011,,gestorcontactos@autogomas.com  autogomas@autogomas.com,942331933,A39000575,Venta de automóviles y vehículos de motor ligeros,,,,
,10159,Perfil,PI CAMPON,Perfil,,,Tienda de Armarios,Tienda,Muebles,Barrio El Castro - PI CAMPON,22-A - PTA.3,39011,,,942324227,,,,,,
,10160,Canalsa,PI CAMPON,Canalsa,,,Proveedor de maquinaria de construcción en Santander,Alquiler,Instalación Andamios,Barrio El Castro - PI CAMPON,22-A - PTA.3,39011,,info@canalsa.net,942321327,B39413570,Alquiler de maquinaria y equipo para la construcción e ingeniería civil,,,,
,10161,Allende Salcedo S.L.,PI CAMPON,Allende Salcedo S.L.,,,Empresa de calefacción en Santander,Oficios / Construcción,Calefacción,Barrio El Castro - PI CAMPON,24 - NAVE 4,39011,,allende@allendesalcedo.es,942333180,B39249537,Reparación de maquinaria,,,,
,10162,Ballenoil Santander V,PI CAMPON,Ballenoil Santander V,,,Gasolinera,Gasolinera,,Barrio El Castro - PI CAMPON,21,39011,,,910883327,,,,,,
,10163,Puertas Cantovi,PI CAMPON,Puertas Cantovi,,,Proveedor de puertas en Santander,Tienda,Puertas,Barrio El Castro - PI CAMPON,45 BAJO,39011,,puertascantovi@hotmail.com,942323660 / 669781075,B39580477,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",,,,
,10164,Acorde Technologies,PI CAMPON,Acorde Technologies,,,Distribuidor de equipos de telecomunicación en Santander,Telecomunicaciones,Equipos,Barrio El Castro - PI CAMPON,22-N,39011,,sales@acorde.com,942764400,A39460118,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,,,,
,10165,Librería Gil Almacén,PI CAMPON,Librería Gil Almacén,,,Almacén,Almacén,Papelería,Barrio El Castro - PI CAMPON,11,39011,,info@libreriagil.es,942337903 / 618304819,B72613318,Comercio al por menor de libros en establecimientos especializados,,,,
,10166,Escayolas y Yesos Burgos Cedrun,PI CAMPON,Escayolas y Yesos Burgos Cedrun,,,Empresa de escayolas en Santander,Oficios / Construcción,Escayolas / Yesos,Barrio El Castro - PI CAMPON,NAVE 12,39011,,,942334333,,,,,,
,10167,Oscar Alquiler de coches Santander,PI CAMPON,Oscar Alquiler de coches Santander,,,Agencia de alquiler de coches en Santander,Alquiler,Vehículos,Barrio El Castro - PI CAMPON,24-P,39011,,hola@oscar.es,951129333,B06963516,Otros servicios relacionados con las tecnologías de la información y la informática,,,,
,10168,Concesionario Oficial Audi Hercos,PI CAMPON,Concesionario Oficial Audi Hercos,,,Concesionario automóviles,Concesionario,Automóviles,Barrio El Castro - PI CAMPON,24-P,39011,,hercosparayas@hercosparayas.com,942352424,A39033428,Venta de automóviles y vehículos de motor ligeros,,,,
,10169,Toldos Santander,PI CAMPON,Toldos Santander,,,"Toldos, estores",Fábricas,Toldos / Estores,Barrio El Castro - PI CAMPON,NAVE 7,39011,,administracion@toldossantander.com,942321192 / 696479496,H39432042,"Fabricación de artículos confeccionados con textiles, excepto prendas de vestir",,,,
,10170,Telymca Servicios de Limpieza,PI CAMPON,Telymca Servicios de Limpieza,,,Servicios de limpieza en Santander,Limpiezas,,Barrio El Castro - PI CAMPON,24 - NAVE 15,39011,,telymca@telymca.es,942219977,B39500194,Otras actividades de limpieza,,,,
,10171,Carlos Uriarte Diseño,PI CAMPON,Carlos Uriarte Diseño,,,Tienda de muebles en Santander,Tienda,Muebles,Barrio El Castro - PI CAMPON,24-A NAVE 6,39011,,info@carlosuriarte.com,942354252,B39299789,"Comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados",,,,
,10172,Avenida Diseño,PI CAMPON,Avenida Diseño,,,Tienda de mobiliario para cocina en Santander,Tienda,Mobiliario cocinas,Barrio El Castro - PI CAMPON,NAVE 18,39011,,,942355928,,,,,,
,10173,La Taberna del Herrero,PI CAMPON,La Taberna del Herrero,,,Restaurante,Hostelería,Restaurante,Barrio El Castro - PI CAMPON,24,39011,,www.latabernadelherrero.es,942320243,,,,,,
,10174,RG Montemar Suministros,PI CAMPON,RG Montemar Suministros,,,EPI y vestuario laboral,Tienda,Vestuario Laboral,Barrio El Castro - PI CAMPON,"8, NAVE 4",39011,,comercial@montemar.es,942341817 / 648 19 54 99,B39406442,Comercio al por mayor de otra maquinaria y equipo,,,,
,10175,Herceba S.L.,PI CAMPON,Herceba S.L.,,,Distribución y venta de golosinas,Almacén,Golosinas,Barrio El Castro - PI CAMPON,8,39011,,info@herceba.com,942342908,B39365457,"Comercio al por mayor de azúcar, chocolate y confitería",,,,
,10176,Eurorepar Talleres EMA,PI CAMPON,Eurorepar Talleres EMA,,,Taller de automóviles en Santander,Taller,Automóviles,Barrio El Castro - PI CAMPON,26 NAVE E,39011,,info@talleresema.es,942333473 / 671688336,B80624695,Mantenimiento y reparación de vehículos de motor,,,,
,10177,UBUD Fitness & Fight,PI CAMPON,UBUD Fitness & Fight,,,Club de boxeo en Santander,Gimnasio,,Barrio El Castro - PI CAMPON,26B,39011,,,699620980,,,,,,
,10178,Varona Producción Técnica,PI CAMPON,Varona Producción Técnica,,,Proveedor de equipos de iluminación de escenarios en Santander,Eventos,Electricidad,Barrio El Castro - PI CAMPON,26,39011,,varona@varonaproduccion.com,942101655 / 609329296,B39653316,Organización de convenciones y ferias de muestras,,,,
,10179,Lopsa,PI CAMPON,Lopsa,,,Tienda de materiales para construcción,Oficios / Construcción,Materiales,Barrio El Castro - PI CAMPON,S/N,39011,,lopsa@lopsa.es,942345557,A39034772,"Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios",,,,
,10180,Fimacan,PI CAMPON,Fimacan,,,Servicio técnico automotriz en Santander,Taller,Automóviles,Barrio Adarzo - PI CAMPON,159,39011,,,942344595,B39624549,Mantenimiento y reparación de vehículos de motor,,,,
,10181,Ventanas de la Parte PVC,PI CAMPON,Ventanas de la Parte PVC,,,Taller de instalación de puertas y ventanas en Santander,Taller,Carpintería Metálica,Barrio Adarzo - PI CAMPON,155,39011,,aluminiosdelaparte@hotmail.com,675093154 / 942331755,B39539770,Fabricación de carpintería metálica,,,,
,10182,Industrias Montañesas Eléctricas Mecánicas,PI CAMPON,Industrias Montañesas Eléctricas Mecánicas,,,Ascensores Imem,Oficios / Construcción,Ascensores,Barrio Adarzo - PI CAMPON,167,39011,,customers@imem.com,942322280,B39008404,Fabricación de maquinaria de elevación y manipulación,,,,
,10183,Luminsa,PI CAMPON,Luminsa,,,Rótulos,Rotulos,,Barrio Adarzo - PI CAMPON,155 BAJO,39011,,luminsa@luminsa.es,942332243,B39327077,Instalaciones eléctricas,,,,
,10184,Confiterías Gómez,PI CAMPON,Confiterías Gómez,,,Pastelería,Tienda,Pastelería,Barrio Adarzo - PI CAMPON,167A,39011,,gomez@gomezpastelerias.com,942325343,B39447370,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados",,,,
,10185,Sealco Consultoría Alimentaría,PI CAMPON,Sealco Consultoría Alimentaría,,,Laboratorio Químico Santander,Laboratorio,,Barrio El Castro - PI CAMPON,NAVE 15,39011,,direccion@sealcobactenor.com,942341011,B39532692,"Otras actividades profesionales, científicas y técnicas n.c.o.p.",,,,
,10247,Ballenoil,Albericia Norte - I. Cantabria ,Ballenoil,,Gasolinera,,Gasolinera,Gasolinera,C/ Repuente,51,39012,,ballenoil@ballenoil.com,900730760,A65371171,Comercio al por menor de combustible para la automoción en establecimientos especializados,,,,
,10248,Reparaciones Bezanilla,Albericia Norte - I. Cantabria ,Reparaciones Bezanilla,,Taller mecánico,Maquinaria,Taller,Taller,C/ Repuente,79,39012,,,633725122,,Reparación de maquinaria,,,,
,10249,Jotaeme plásticos y metacrilatos,PI Nueva Montaña - Isla del Oleo,Jotaeme plásticos y metacrilatos,,"Fabricación de trofeos, placas identificativas grabadas, cartelería, tienda de golosinas, urnas para maquetas, portapinchos y útiles para hostelería, mobiliario de hogar y decoración","Fabricación de trofeos, placas identificativas grabadas, cartelería, tienda de golosinas, urnas para maquetas, portapinchos y útiles para hostelería, mobiliario de hogar y decoración",,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",s/n,39011,,correo@jotaeme.info,942053739,,,,,,
,10250,Cei Envíos Cantabria S.L.,PI Nueva Montaña - Isla del Oleo,Cei Envíos Cantabria S.L.,,Servicio de mensajería y transporte en Santander,Servicio de mensajería y transporte en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",35,39011,,,942352505,B39832308,Actividades anexas al transporte marítimo y por vías navegables interiores,,,,
,10251,Gestires,PI Nueva Montaña - Isla del Oleo,Gestires,,Centro de reciclaje en Santander,Centro de reciclaje en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",51 izq.,39011,,gestires@yahoo.es,649524685 / 679919549,E39836069,Comercio al por mayor de chatarra y productos de desecho,,,,
,10252,Juguetes Reciclados,PI Nueva Montaña - Isla del Oleo,Juguetes Reciclados,,Juguetería en Santander,Juguetería en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",50B,39011,,clientes@juguetesreciclados.es,649426501,B39854153,Comercio al por mayor no especializado,,,,
,10253,Boxcan,PI Nueva Montaña - Isla del Oleo,Boxcan,,Academia de Boxeo,Academia de Boxeo,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",52,39011,,,647323840,,Club deportivo de boxeo,,,,
,10254,Almacenes Santa Isabel S.L.,PI Nueva Montaña - Isla del Oleo,Almacenes Santa Isabel S.L.,,Distribuidor mayorista para hostelería y comunidades de alimentación y droguería,Distribuidor mayorista para hostelería y comunidades de alimentación y droguería,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",48,39011,,info@almacenessantaisabel.es,942323020,B39338686,"Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",,,,
,10255,OCS Outsourcing Comercial y Soluciones en General,PI Nueva Montaña - Isla del Oleo,OCS Outsourcing Comercial y Soluciones en General,,Servicio de envíos en Santander,Servicio de envíos en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",55,39011,,,601305397,B39804513,Construcción de redes eléctricas y de telecomunicaciones,,,,
,10256,AislaPlus Cantabria,PI Nueva Montaña - Isla del Oleo,AislaPlus Cantabria,,Contratista de aislamiento en Santander,Contratista de aislamiento en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",54,39011,,ccabrillo@aislaplus.es / info@aislaplus.es,942101672,B39784905,Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico,,,,
,10257,Muon Systems,PI Nueva Montaña - Isla del Oleo,Muon Systems,,Empresas de suministros industriales,Empresas de suministros industriales,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",55,39011,,info@muon.systems,946572115,B95797890,Otra investigación y desarrollo experimental en ciencias naturales y técnicas,,,,
,10258,Iberia Express,PI Nueva Montaña - Isla del Oleo,Iberia Express,,Proveedor mayorista de alimentos y bebidas en Santander,Proveedor mayorista de alimentos y bebidas en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",57,39011,,iberiaexpress@yahoo.es / nfo@altracatering.com,942766885 / 942342465,,Cattering y servicio a colectividades y comidas a domicilio,,,,
,10259,Electrodomésticos El Chollo,PI Nueva Montaña - Isla del Oleo,Electrodomésticos El Chollo,,Tienda de electrodomésticos en Santander,Tienda de electrodomésticos en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",56B,39011,,,942333499,,Venta de electrodomesticos y artículos de descanso,,,,
,10260,Sobrino,PI Nueva Montaña - Isla del Oleo,Sobrino,,Pastelería,Pastelería,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",50 - 60,39011,,info@lagallofa.com,942353535,B39718622,Fabricación de pan y de productos frescos de panadería y pastelería,,,,
,10261,Mobibox,PI Nueva Montaña - Isla del Oleo,Mobibox,,Instalación de auto almacenamiento en Santander,Instalación de auto almacenamiento en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",25-40,39011,,info@mobibox.es,942031661 / 650167555,B39863048,Transporte de mercancías por carretera,,,,
,10262,Gallofa & Co oficinas centrales,PI Nueva Montaña - Isla del Oleo,Gallofa & Co oficinas centrales,,"Panadería, pastelería","Panadería, pastelería",,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",61,39011,,info@lagallofa.com,942353535,B39535661,"Comercio al por menor de pan y productos de panadería, confitería y pastelería en establecimientos especializados",,,,
,10263,Digassol Formación,PI Nueva Montaña - Isla del Oleo,Digassol Formación,,Centro Educativo Santander,Centro Educativo Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",62,39011,,administracion@digassol.com / info@digassolformacion.com,642258379,B39313168,Otra educación n.c.o.p.,,,,
,10264,Caydesa,PI Nueva Montaña - Isla del Oleo,Caydesa,,Carnes,Carnes,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",62,39011,,info@caydesa.com,942336070,H39041678,Comercio al por mayor de carne y productos cárnicos,,,,
,10265,Entrenador Personal en Santander Miguel Gómez Trainer,PI Nueva Montaña - Isla del Oleo,Entrenador Personal en Santander Miguel Gómez Trainer,,Entrenador personal,Entrenador personal,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",18,39011,,,842901276 /625015647,72142305E,Entrenamiento personal,,,,
,10266,Beroil Santander,PI Nueva Montaña - Isla del Oleo,Beroil Santander,,Gasolinera,Gasolinera,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",63,39011,,info@beroil.es,942353933,B09417957,"Comercio al por mayor de combustibles sólidos, líquidos y gaseosos, y productos similares",,,,
,10267,Autoplastic,PI Nueva Montaña - Isla del Oleo,Autoplastic,,Taller de reparación de autos en Santander,Taller de reparación de autos en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",30,39011,,auto.plastic@hotmail.com,666444828 /942323029,,Reparación de automóviles,,,,
,10268,AMC Recuperaciones,PI Nueva Montaña - Isla del Oleo,AMC Recuperaciones,,Compra-venta de chatarra,Compra-venta de chatarra,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",34B,39011,,,627032128,,Compra y venta de chatarra férrica y metales no férricos,,,,
,10269,Meco Artesano,PI Nueva Montaña - Isla del Oleo,Meco Artesano,,Mayorista de confitería,Mayorista de confitería,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",26B,39011,,vvmeco.es@gmail.com,633127758,X6538095T,Restaurantes y puestos de comidas,,,,
,10270,Representaciones San Mamés SLU,PI Nueva Montaña - Isla del Oleo,Representaciones San Mamés SLU,,Distribuidor de cerveza,Distribuidor de cerveza,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",24,39011,,sanmames@sanmames.es,942333599,B39028386,"Comercio al por mayor, no especializado, de productos alimenticios, bebidas y tabaco",,,,
,10271,Evemal,PI Nueva Montaña - Isla del Oleo,Evemal,,Proveedor de productos de limpieza en Santander,Proveedor de productos de limpieza en Santander,,,Av. Nueva Montaña,s/n,39011,,netevemal@nexo.net,942343656,A39016795,Comercio al por menor de productos cosméticos e higiénicos en establecimientos especializados,,,,
,10272,Macruz,PI Nueva Montaña - Isla del Oleo,Macruz,,Contratista general en Santander,Contratista general en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",16,39011,,,942352819 - 942352281,,Albañileria y reformas,,,,
,10273,Marmoles Martín Sánchez,PI Nueva Montaña - Isla del Oleo,Marmoles Martín Sánchez,,Contratista de Marmol,Contratista de Marmol,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña","12, 13",39011,,ventas@marmolesmartinsanchez.com,942336936,B39330501,"Corte, tallado y acabado de la piedra",,,,
,10274,Panbelia,PI Nueva Montaña - Isla del Oleo,Panbelia,,Panadería,Panadería,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",61,39011,,info@lagallofa.com,942353535 / 942353637,B39707401,Fabricación de pan y de productos frescos de panadería y pastelería,,,,
,10275,Vicon Tejados,PI Nueva Montaña - Isla del Oleo,Vicon Tejados,,Contratista tejados en Santander,Contratista tejados en Santander,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",1,39011,,,662959833,,Contratisata de tejados en contruccion y reparaciones,,,,
,10276,Hostal Oleo Auto Check-in,PI Nueva Montaña - Isla del Oleo,Hostal Oleo Auto Check-in,,"Hostal, cafetería","Hostal, cafetería",,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",21,39011,,hostal.oleo@gmail.com,675993366 /942 88 11 10/686 36 83 09,,Hoteles y alojamientos,,,,
,10277,Bruinox,PI Nueva Montaña - Isla del Oleo,Bruinox,,Aceros inoxidables,Aceros inoxidables,,,"C/ Isla del Oleo, Poligono Industrial de Nueva Montaña",51 izq.,39011,,info@acerosbruinox.es,660858416,B39657762,Fabricación de carpintería metálica,,,,
,10278,Mc Donald’s,PI Nueva Montaña    ,Mc Donald’s,,Comida rápida,Comida rápida,Hostelería,Comida Rápida,Av. Nueva Montaña,2J,39011,,atencionconsumidor@es.mcd.com,917547890,A28586097,Restaurantes y puestos de comidas,,,,
,10279,GSW Acería (CELSA GROUP),PI Nueva Montaña    ,GSW Acería (CELSA GROUP),,Fabricante de acero en Santander,Fabricante de acero en Santander,Fábrica,Acero,Av. Nueva Montaña,2D,39011,,info@celsagroup.com,937730400,,,,,,
,10280,Restaurante Gelín,PI Nueva Montaña    ,Restaurante Gelín,,Restaurante,Restaurante,Hostelería,Restaurante,Av. Nueva Montaña,2,39011,,,942332733,B13709035,Restaurantes y puestos de comidas,,,,
,10281,Global Steel Wire,PI Nueva Montaña    ,Global Steel Wire,,Siderurgia,Siderurgia,Fábrica,Siderurgia,C. la Peseta Nueva Montaña,1D,39011,,rosamaria.castrillo@globalsteelwire.com,942200200,A08080533,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",,,,
,10282,Conforama,PI Nueva Montaña    ,Conforama,,Tienda de muebles en Santander,Tienda de muebles en Santander,Tienda,Muebles,Av. Nueva Montaña,2C,39011,,recepcion@conforama.es,627347745 / 935431623,A79103222,"Comercio al por menor de muebles, aparatos de iluminación y otros artículos de uso doméstico en establecimientos especializados",,,,
,10283,Obramat,PI Nueva Montaña    ,Obramat,,Proveedor de materiales de construcción en Santander,Proveedor de materiales de construcción en Santander,Oficios / Construcción,Materiales,C. la Peseta Nueva Montaña,4,39011,,info.santander@obramat.es,942328430,B87622155,Construcción de edificios residenciales,,,,
,10284,GBB Global Bright Bars,PI Nueva Montaña    ,GBB Global Bright Bars,,Fabricante de acero en Santander,Fabricante de acero en Santander,Fábrica,Acero,Poligono Industrial Nueva Montaña,s/n,39011,,kjeld.andreasen@gcelsa.com,942200281 / 696161182,A39066063,Trefilado en frío,,,,
,10285,Saint-Gobain Pam España,PI Nueva Montaña    ,Saint-Gobain Pam España,,Fabricante en Santander,Fabricante en Santander,Fábrica,Acero,C. la Peseta Nueva Montaña,s/n,39011,,pablo.delatorre@saint-gobain.com,942249160 / 639127236,A28143014,"Fabricación de productos básicos de hierro, acero y ferroaleaciones",,,,
,10286,Tycsa PSC,PI Nueva Montaña    ,Tycsa PSC,,Fabricantes de acero en Santander,Fabricantes de acero en Santander,Fábrica,Acero,Barrio Nueva Montaña,s/n,39011,,amuste@tycsa.com,942200395 / 679256916,B39435045,"Fabricación de productos de alambre, cadenas y muelles",,,,
,10287,B & S Trefilados Quijano S.L.,PI Nueva Montaña    ,B & S Trefilados Quijano S.L.,,Alambres fabricantes y mayoristas,Alambres fabricantes y mayoristas,Fábrica,Acero,C. la Peseta Nueva Montaña,s/n,39011,,cometqe@tquijano.com,942200390,B39538277,Trefilado de acero en frío,,,,
,10288,Mobiliario Urbano Adaptado Martin Mena,Faustino Cavadas,Mobiliario Urbano Adaptado Martin Mena,,Tienda de muebles,Tienda de muebles,Tienda,Muebles,Avenida 1º Mayo,53,39011,,info@martinmena.es,660653003,,,,,,
,10289,Plásticos Hedican,Faustino Cavadas,Plásticos Hedican,,Fabricación de plástico,Fabricación de plástico,Fábrica,Plásticos,Avenida 1º Mayo,"19, 21",39011,,hedicansl@gmail.com,942332069,B39672944,Fabricación de otros productos de plástico,,,,
,10290,Laboratorios Arroyo,Faustino Cavadas,Laboratorios Arroyo,,Laboratorios industria láctea,Laboratorios industria láctea,Fábrica,Productos Quimicos,Avenida 1º Mayo,19,39011,,pedidos@laboratoriosarroyo.com,942335209 / 902335209,A39048665,Fabricación de otros productos químicos n.c.o.p.,,,,
,10291,Alerta El Diario de Cantabria,Faustino Cavadas,Alerta El Diario de Cantabria,,Editor de diarios,Editor de diarios,Prensa,,Avenida 1º Mayo,S/N,39011,,publicidad@eldiarioalerta.com,942320033,A28927606,Edición de periódicos,,,,
,10292,Banco Santander,Faustino Cavadas,Banco Santander,,Banco,Banco,Banco,,Avenida 1º Mayo,1,39011,,comunicacion@gruposantander.com,942342044,A39000013,Otra intermediación monetaria,,,,
,10293,Heladería Regma,Faustino Cavadas,Heladería Regma,,"Heladería, pastelería","Heladería, pastelería",Tienda,Helados / Dulces,Avenida 1º Mayo,7E,39011,,regma@regma.es,942355526,A39014477,Elaboración de helados,,,,
,10294,Bravo Mobiliario de oficina,Faustino Cavadas,Bravo Mobiliario de oficina,,Tienda de mobiliario de oficina,Tienda de mobiliario de oficina,Tienda,Muebles,Avenida 1º Mayo,7A,39011,,info@bravo.es,942334544,J39309232,Otro comercio al por menor de artículos nuevos en establecimientos especializados,,,,
,10295,Nuevo Siglo I,Faustino Cavadas,Nuevo Siglo I,,Bazar,Bazar,Tienda,Bazar,Avenida 1º Mayo,31,39011,,,600000444,,,,,,
,10296,Bazar 1º de Mayo,Faustino Cavadas,Bazar 1º de Mayo,,Bazar,Bazar,Tienda,Bazar,Avenida Nueva Montaña,,39011,,,688189635,,,,,,
,10297,Compramos tu Coche NorthCars,Faustino Cavadas,Compramos tu Coche NorthCars,,Compraventa de automóviles,Compraventa de automóviles,Concesionario,Automóviles,C. Eduardo García,18,39011,,info@northcars.es,656565663,B39849310,Venta de automóviles y vehículos de motor ligeros,,,,
,10298,Centro Comercial Peñacastillo,Faustino Cavadas,Centro Comercial Peñacastillo,,Carrefour,Carrefour,Centro Comercial,,C. El Empalme,S/N,39011,,administracion@ccpenacastillo.com,942345120 / 916635544,H83525840,Servicios administrativos combinados,,,,
,10299,Petroprix,Faustino Cavadas,Petroprix,,Gasolinera,Gasolinera,Gasolinera,,C. Faustino Cavadas,32,39011,,info@petroprix.com,953900009,B23709892,Comercio al por menor de combustible para la automoción en establecimientos especializados,,,,
,10300,Container visual,Faustino Cavadas,Container visual,,Servicio edición gráfica,Servicio edición gráfica,Publicidad,Productos,C. Faustino Cavadas,28B,39011,,info@containervisual.com,942054778 / 942765081,B39680582,Agencias de publicidad,,,,
,10301,APD Neumáticos del Norte,Faustino Cavadas,APD Neumáticos del Norte,,Servicio técnico automotriz,Servicio técnico automotriz,Taller,Automóviles,C. Faustino Cavadas,S/N,39011,,info@neumaticosapd.com,942791653 / 602 46 00 60,B39822861,Comercio al por mayor de repuestos y accesorios de vehículos de motor,,,,
,10302,Escuela de Boxeo Iván Salcines,Faustino Cavadas,Escuela de Boxeo Iván Salcines,,Gimnasio,Gimnasio,,,C. Faustino Cavadas,26C,39011,,,699113170,,,,,,
,10303,Eprocal S.L.,Faustino Cavadas,Eprocal S.L.,,Almacén productos de calefacción,Almacén productos de calefacción,Oficios / Construcción,Materiales,C. Faustino Cavadas,5,39011,,eprocal@eprocal.es,942354191,B39508957,Comercio al por mayor de aparatos electrodomésticos,,,,
,10304,Grupo Interés,Faustino Cavadas,Grupo Interés,,Agencia de publicidad,Agencia de publicidad,Publicidad,Agencia,C. Faustino Cavadas,28B,39011,,info@grupointeres.com,942765081,B39680582,Agencias de publicidad,,,,
,10305,Rocódromo Quality Santander,Faustino Cavadas,Rocódromo Quality Santander,,Escalada,Escalada,,,C. Faustino Cavadas,"26, nave 8",39011,,info@qualityclimbingcenter.com,942107855,,,,,,
,10306,Eme,Faustino Cavadas,Eme,,Alquiler de maquinaria,Alquiler de maquinaria,,,C. Faustino Cavadas,26J,39011,,,,,,,,,
,10307,Sancar Motor S.L.,Faustino Cavadas,Sancar Motor S.L.,,Taller de automóviles,Taller de automóviles,Taller,Automóviles,C. Faustino Cavadas,"9L, nave 12",39011,,,942323890,B39792189,Mantenimiento y reparación de vehículos de motor,,,,
,10308,Sandocars,Faustino Cavadas,Sandocars,,Taller reparación automóviles,Taller reparación automóviles,Taller,Automóviles,C. Faustino Cavadas,24C,39011,,sandocars@sandocars.es,842840038 / 621289996,B67821959,Mantenimiento y reparación de vehículos de motor,,,,
,10309,Maderas Moratinos,Faustino Cavadas,Maderas Moratinos,,Venta de madera,Venta de madera,Almacén,Madera,C. Faustino Cavadas,"24D, nave 14",39011,,tableros@maderasmoratinos.com,942347298,B39390364,Venta de madera,,,,
,10310,Peluquería Cintia Peral,Faustino Cavadas,Peluquería Cintia Peral,,Peluquería,Peluquería,,,C. Hermanos Calderón,,39011,,,942324410,,,,,,
,10311,Insteler S.L.,Faustino Cavadas,Insteler S.L.,,Electricista,Electricista,Oficios / Construcción,Electricista,C. Hermanos Calderón,4,39011,,insteler@insteler.com,942331257,B39014147,Instalaciones eléctricas,,,,
,10312,Roomoko,Faustino Cavadas,Roomoko,,Diseñador de moda,Diseñador de moda,,,C. Manuel Vélez,"7B, 3ºb",39011,,,679818400,,,,,,
,10313,Pinturas Vangogh & reformas,Faustino Cavadas,Pinturas Vangogh & reformas,,Pintores,Pintores,Oficios / Construcción,Pintores,C. Manuel Vélez,9A,39011,,,615210897,E53812467,Pintura y acristalamiento,,,,
,10314,Construcciones y reformas Cesar,Faustino Cavadas,Construcciones y reformas Cesar,,Empresa de construcción,Empresa de construcción,Oficios / Construcción,Albañilería,C. Rogelio de Egusquiza,3,39011,,construcciones.cancesar@gmail.com,620289694,B39848437,Construcción de edificios residenciales,,,,
,10315,Go Fit Ruth Beitia,Faustino Cavadas,Go Fit Ruth Beitia,,Gimnasio,Gimnasio,Gimnasio,,Calle Rosalía de Castro,2,39011,,santander@go-fit.es,911190202,B85809416,Gestión de instalaciones deportivas,,,,
